feature,mean_importance
´,-0.002905810815718346
í,-0.0015484680001079942
V,-0.001139439060073233
s,-0.0010846599728948857
8,-0.0010482033252179556
q,-0.0009930633618179918
ü,-0.0009876367121067543
T,-0.0009218449634957216
I,-0.0008650260882100413
u,-0.0008259227955304427
~,-0.0006851229542987669
ñ,-0.0006342157151274952
m,-0.0005873078114844166
L,-0.0005550242510943493
j,-0.00048003020076277104
4,-0.0004330035193398363
,-0.00040666151858306245
!,-0.00037133274983189855
G,-0.0003572120990525285
M,-0.0003505499347858265
ö,-0.00021315754947834887
2,-0.0002128483938536263
v,-0.0001750795520763404
,-6.912600710426987e-05
-,-3.711679116036315e-05
ó,-1.2135922850298187e-05
=,-3.6601537982683396e-06
1,-3.127369823374693e-06
‘,0.0
è,0.0
¡,0.0
»,0.0
	,0.0
æ,0.0
’,0.0
û,0.0
ý,0.0
,0.0
,0.0
£,0.0
½,0.0
É,0.0
Õ,0.0
ï,0.0
Ó,0.0
ê,0.0
ô,0.0
“,0.0
å,0.0
],0.0
[,0.0
{,0.0
«,0.0
^,0.0
},0.0
ð,0.0
ú,0.0
ë,0.0
¢,0.0
&,2.9560070899270487e-06
6,4.158083884275854e-06
@,8.974268415729014e-06
à,1.0319187748319969e-05
Z,2.209614873391885e-05
x,7.260661550441138e-05
:,7.425724626928255e-05
_,0.00011237119719349486
ä,0.00014109609864276784
ã,0.00019011311978316402
ç,0.00022296981138374415
H,0.00026852181180792023
·,0.00027008040522344954
,0.0002800192317863992
F,0.00030621295844146523
,0.0003535936916787108
X,0.0003744137382602375
E,0.0004440773642981455
W,0.0005103870671901544
*,0.0005106795244149698
Y,0.0005866729612377774
%,0.0006476422574730467
;,0.0007284709526164113
U,0.0007366768343169295
é,0.0007373696091305781
z,0.0007604373614591431
A,0.0009800263081625627
`,0.00108920556847385
S,0.0011235651135169666
#,0.0011669205887881785
$,0.0014100265804422695
9,0.001630966799599265
K,0.001811261299565703
7,0.0019090573404994871
5,0.0022447868556637386
B,0.0024939389687843594
k,0.0026538913352458283
J,0.002790508792069035
R,0.002840738235924922
P,0.0029507493894476377
Q,0.0029606815293604207
0,0.003132245025119551
',0.0032995632735318024
D,0.0034675897429222724
c,0.004032091679009619
C,0.004105686073875669
á,0.004107367090017844
3,0.004323728213584533
N,0.005000854078794225
w,0.005263725646401629
"""",0.005360751767882021
.,0.0057815625928337114
O,0.006291385967071061
",",0.007503058608669422
+,0.007591075270347747
(,0.008047278871445051
h,0.009225176826041959
l,0.010810168464201996
o,0.0109608926635822
g,0.013660093934872131
r,0.01445699481851983
n,0.018655630712745053
),0.019471932843248885
?,0.020931958920976036
 ,0.022107285601153957
f,0.023059648037619573
/,0.02742947382028804
t,0.02793573434402712
p,0.03243915080085687
y,0.036332592779205045
>,0.03816269108680963
<,0.04205465199558913
d,0.06209365340503792
b,0.19054762786351084
i,0.22846400234292835
e,0.2404272369000613
a,0.25372878995480025
