feature,shap_importance
a,0.9270364381068549
e,0.9087310178534205
b,0.8984934073415112
i,0.8907319434153749
d,0.5315186794468567
p,0.3740167332061075
<,0.37284289341308313
t,0.371411920780217
>,0.3514904442060703
 ,0.3466121902546724
/,0.31238874307375214
y,0.27044443823148107
o,0.26682475480246526
g,0.2580577398386728
r,0.25556559429945813
.,0.2503008464851984
',0.2346619818693695
h,0.2298554960581124
f,0.22442176927144483
),0.20842665128082827
n,0.20131247322944648
?,0.19602515956250904
k,0.1791793136026388
(,0.1656401029540789
"""",0.14459258412285905
l,0.13685764775457068
C,0.13488380348922147
",",0.11481125291686775
O,0.1044216402371448
N,0.097667803651656
w,0.09343988550071701
s,0.08522913743251793
v,0.08260226456226401
c,0.07998906224955549
3,0.07564611419667212
D,0.07378333361096578
Q,0.07341952986128218
P,0.07279689342504553
T,0.07039282476329208
F,0.07000890065371028
R,0.06750333538688634
9,0.05703528942276096
5,0.05611179640512479
A,0.05167901742113486
H,0.05166445746612422
B,0.048376365913016764
0,0.0463628320719864
8,0.04606094869778652
K,0.04594334896741349
J,0.044964771569115214
U,0.044406132503165795
*,0.03278149788260783
S,0.03021484828744598
W,0.029308913322909375
L,0.02911377930326176
z,0.028661004191168626
m,0.02537792240027725
Y,0.025224967739249406
j,0.024790556723369796
I,0.02432924458873043
u,0.02364704221439096
4,0.022528909480142682
+,0.020707353754762948
E,0.01972710074547046
$,0.019491778690715143
!,0.0187949400667512
X,0.018724480918748527
-,0.018331312191551607
7,0.01810577056574766
q,0.0179049838216045
M,0.017678348279540936
2,0.017635963863172104
V,0.01669855663078831
G,0.013132831704211978
;,0.012914978383722249
,0.01278204439914761
´,0.012577183218231196
,0.011957587887901595
é,0.011674820401938955
á,0.00867620999608364
%,0.008041228866483402
ä,0.008013740627560672
#,0.006541258344667747
·,0.0055484410102998975
ü,0.005480000187854653
Z,0.004856348436933988
`,0.0044944248136219896
x,0.003987795295911871
í,0.002993242878038246
:,0.0027661261013529337
~,0.00259350818793309
[,0.002433897960876507
],0.002433897960876507
ñ,0.0021212607368034943
6,0.0019680180523349894
_,0.0018771004739059488
,0.001777396363678588
	,0.0013556965400069799
,0.001137697336514268
ç,0.0010464877629266511
ã,0.0009186395431912911
è,0.0007849753307928701
=,0.0007243271826029626
ï,0.0006566054701940226
,0.000655853246537711
£,0.0006480727224737845
ö,0.0005823012879888964
’,0.0005519424087172378
»,0.0005216962492113387
«,0.0005216962492113387
^,0.0005008908668486393
à,0.0004540386319104722
ê,0.0004538325551148369
Õ,0.0004467542727191253
ý,0.0004209592636069977
ô,0.0004046759168012353
½,0.00034409165119185644
&,0.00034092056863174275
å,0.00033488928512888583
1,0.0003335520992340821
@,0.0003225197097194928
{,0.00028833834841627133
},0.00028833834841627133
ë,0.0002708696058698003
¡,0.000160177504129758
,0.0001400222847387379
É,0.00012047665574654058
ú,3.836536926892681e-05
“,3.4496400544827364e-05
‘,3.4496400544827364e-05
ó,1.8669048328214413e-05
ð,0.0
Ó,0.0
û,0.0
æ,0.0
¢,0.0
