feature,shap_importance
e,0.10079186842813832
?,0.06210557258460632
b,0.05853827668723241
o,0.029193005947069545
v,0.021769607843137247
*,0.0
é,0.0
Z,0.0
%,0.0
3,0.0
$,0.0
è,0.0
à,0.0
4,0.0
;,0.0
N,0.0
!,0.0
X,0.0
U,0.0
C,0.0
F,0.0
K,0.0
+,0.0
E,0.0
H,0.0
9,0.0
8,0.0
7,0.0
&,0.0
=,0.0
I,0.0
6,0.0
0,0.0
Þ,0.0
 ,0.0
ð,0.0
ç,0.0
Õ,0.0
´,0.0
ê,0.0
á,0.0
],0.0
[,0.0
{,0.0
@,0.0
#,0.0
~,0.0
^,0.0
},0.0
í,0.0
,0.0
,0.0
ó,0.0
,0.0
`,0.0
Q,0.0
q,0.0
G,0.0
O,0.0
f,0.0
T,0.0
.,0.0
-,0.0
c,0.0
",",0.0
k,0.0
m,0.0
p,0.0
y,0.0
l,0.0
r,0.0
),0.0
d,0.0
n,0.0
a,0.0
w,0.0
s,0.0
i,0.0
g,0.0
u,0.0
h,0.0
t,0.0
(,0.0
W,0.0
Y,0.0
J,0.0
 ,0.0
V,0.0
B,0.0
L,0.0
5,0.0
1,0.0
D,0.0
j,0.0
x,0.0
"""",0.0
S,0.0
z,0.0
',0.0
>,0.0
/,0.0
<,0.0
A,0.0
R,0.0
:,0.0
2,0.0
P,0.0
M,0.0
À,0.0
