feature,mean_importance
E,-0.004976254411425107
V,-0.0024554907421834526
n,-0.002173187071803406
k,-0.002152496001121729
-,-0.0021412122779055132
z,-0.0019216038782504884
"""",-0.0016367616111707007
",",-0.001284055373963966
M,-0.001282491486131443
K,-0.0012245964889891158
R,-0.0010382266384675986
d,-0.0010028371143025795
W,-0.000954131330256347
s,-0.0008598392093707386
A,-0.0003994713986739562
p,-0.00039206970430407664
L,-0.00017346785681935373
),-0.00011812076258501669
é,-7.675844324550596e-05
h,-5.155657353830279e-05
r,-2.2204460492503132e-17
H,0.0
+,0.0
*,0.0
X,0.0
=,0.0
à,0.0
Z,0.0
%,0.0
N,0.0
3,0.0
4,0.0
$,0.0
è,0.0
Q,0.0
G,0.0
,0.0
 ,0.0
ð,0.0
ç,0.0
Õ,0.0
´,0.0
ê,0.0
á,0.0
],0.0
[,0.0
`,0.0
{,0.0
#,0.0
~,0.0
^,0.0
},0.0
í,0.0
,0.0
,0.0
ó,0.0
9,0.0
@,0.0
7,0.0
À,0.0
q,0.0
l,0.0
m,0.0
:,0.0
Y,0.0
Þ,0.0
B,0.0
&,0.0
J,0.0
x,0.0
j,0.0
5,0.0
D,0.0
6,3.520875814226887e-05
o,9.873378443272517e-05
g,0.00015287845138640678
2,0.00027215192647380706
8,0.00031690362353469225
v,0.0003321542387412224
P,0.00035645363222889246
T,0.0004248579976368072
t,0.0008377384510793284
 ,0.0008644925546023252
',0.0009149788703882056
>,0.000924606437551101
S,0.0010415193467714578
f,0.0013347353656089078
0,0.0013714066636649979
u,0.0014281966595271812
C,0.001438117563340291
w,0.0014593945488573733
y,0.0015745313944570461
/,0.0017825328251775074
<,0.0019461163956293825
(,0.0021075633288940355
F,0.0033278798605259176
;,0.0033815690237869013
1,0.0033856842787505894
c,0.00379706017625272
O,0.004086664050115108
U,0.0043441819872554795
!,0.004376679342237111
I,0.00504963175182691
i,0.00544808474769698
a,0.008847637561579158
.,0.009466197395452092
e,0.014227339156061891
b,0.017904227273357765
?,0.03529156121254804
