feature,mean_importance
h,-0.0024812733043323874
K,-0.0022277236960150937
j,-0.001863021346655791
w,-0.0015819497921250036
(,-0.0011322207992727096
s,-0.0011227172396399698
H,-0.0010459768013520998
v,-0.0009891410090706377
u,-0.000982751412825178
F,-0.0009019411206245609
V,-0.0007546709992668932
m,-0.0007275839881463631
"""",-0.0005872852748090684
9,-0.0005549789342013334
d,-0.0005475226369771269
i,-0.0004005205739628259
.,-0.00029022337631747777
l,-0.00024941257996995424
x,-0.0002308053970337287
 ,-0.00022184138948271314
P,-0.00021850885586305324
R,-0.00020302635973150628
-,-0.00016245470263744898
/,-0.00015114946798844286
:,-0.00014878180893986847
<,-0.0001350461894815691
o,-0.00011889207363131593
5,-9.875196760353866e-05
S,-5.7006250728264264e-05
G,-4.450770941646365e-05
,-2.034905823797839e-05
Z,-1.6406026753523762e-05
},0.0
ë,0.0
Q,0.0
ñ,0.0
	,0.0
í,0.0
,0.0
é,0.0
ó,0.0
=,0.0
,0.0
X,0.0
ü,0.0
6,0.0
`,0.0
,0.0
^,0.0
[,0.0
~,0.0
|,0.0
 ,0.0
»,0.0
«,0.0
ō,0.0
£,0.0
½,0.0
\,0.0
ù,0.0
ö,0.0
Ö,0.0
ï,0.0
ä,0.0
,0.0
´,0.0
Á,0.0
á,0.0
ã,0.0
],0.0
%,0.0
{,0.0
@,0.0
#,0.0
_,0.0
$,0.0
¢,0.0
à,0.0
>,0.0
4,0.0
;,0.0
),0.0
*,0.0
è,0.0
+,0.0
¡,0.0
1,3.0230283736942807e-06
Y,1.5761321241192227e-05
L,1.7919372428543133e-05
T,2.0216432484709833e-05
q,3.140543807633733e-05
&,5.5122808976593164e-05
z,6.925589388064867e-05
E,9.716745398260506e-05
8,0.0001844827370209856
a,0.00023484492843799386
2,0.0002478485866026281
f,0.0003047484213655638
O,0.00039411396330051306
!,0.0004043350761586906
n,0.00040851262482728413
p,0.00042103215781121863
7,0.00043548590486695014
r,0.00043772576613860804
U,0.0005174951553344797
M,0.0005477528897198436
e,0.0005605028109116894
I,0.0006587582880800636
c,0.000794554948806736
0,0.0008387173089114075
C,0.0008658263574947034
W,0.0009497976574030398
N,0.0011764957471326997
k,0.001246302891861295
A,0.0012493464188142011
B,0.0013076424869624015
",",0.0015826743299310665
t,0.0016215057102116459
y,0.0017013431787490819
3,0.0017101194370876538
g,0.0023120357881892596
J,0.002801858522675227
D,0.0028204789378425852
',0.0033894674723798255
b,0.004220663449980999
?,0.020716272337870146
