feature,mean_importance
K,-0.024799805348833748
P,-0.014267069658543097
4,-0.013806980456226192
,-0.01329467161328004
',-0.01305749772576048
W,-0.012916249632483102
z,-0.012473096327247446
"""",-0.011768435813491606
;,-0.01119979553097512
J,-0.010810275372017375
d,-0.010504222821800168
,-0.010287802318996907
,-0.010088869269728008
h,-0.008585582746295594
2,-0.008584047011626494
F,-0.008280545240267024
j,-0.007908469409124552
X,-0.006537488430468308
p,-0.005950242569867559
C,-0.0057916661868450126
(,-0.005462122002768632
x,-0.0049166742992602375
0,-0.0037084475247051163
M,-0.0035196844646713022
$,-0.0028807616538080393
u,-0.002865758490027415
&,-0.0024737009342074012
^,-0.002378749305210848
`,-0.0016352951652089942
+,-0.001164515571359881
*,-0.001129553579518028
U,-0.0011114367899333288
!,-0.0009281805697677337
ó,-0.0007406286109626458
t,-0.0006690211013218539
8,-0.0006061478777550589
ä,-0.00046002326415286456
´,-0.00043295160555079093
?,-0.00037059007556718984
},-0.00030312681340176616
@,-0.00022318337196507442
ï,-3.345681384223642e-05
»,-7.871667668024607e-06
«,-4.135487282153072e-06
ã,-9.680040145010338e-07
	,-3.538954790549553e-07
Á,-3.660328204979635e-08
[,0.0
¡,0.0
],0.0
¢,0.0
ë,0.0
|,0.0
,0.0
,0.0
ü,0.0
Ö,0.0
ù,0.0
 ,0.0
½,0.0
£,0.0
í,0.0
\,2.8520344219629123e-07
ñ,9.544191742261176e-07
ō,1.0770005214100209e-05
è,1.635776944741707e-05
1,7.55231666571543e-05
=,8.01732440756986e-05
_,0.0001983446058542393
à,0.00021705973257226673
á,0.00023754756502238905
#,0.0008838045289242702
R,0.000886515994064907
~,0.0009615097287297258
5,0.0010642099127089245
6,0.0016298448469430626
ö,0.0016334615224727679
%,0.001960884808242036
w,0.0020355710639560877
),0.0021444647624891287
Z,0.0021749259189847827
g,0.0025845717638793174
n,0.002669957772658349
é,0.0028082190317979317
o,0.0028175096481766193
L,0.002947749294411062
Q,0.0032371190700092754
O,0.0035769658545725226
l,0.004602037339594367
-,0.00480885479083073
{,0.004876525885918448
V,0.00507168585415223
D,0.005391849803206994
E,0.007753886880025029
>,0.007783040311812805
/,0.008012819525206116
e,0.008021635369386493
 ,0.00832123904934896
<,0.008465937328074592
s,0.009061421341944232
.,0.009102093879683238
I,0.009317785822721646
v,0.01072768254613805
A,0.015970806615169163
S,0.017214134506063662
Y,0.01737902274659986
G,0.017395806249148826
q,0.018364873581213102
k,0.0192310220018292
T,0.019500554089671128
:,0.020299531974300167
",",0.02034294783658186
c,0.02179838377133827
a,0.023492305266606638
3,0.025366706824293716
N,0.026099950866786625
9,0.02734241633599377
H,0.027975633299591362
7,0.03357866741168784
m,0.034724152888349916
i,0.0427789110900628
y,0.049716214806227677
r,0.049749002951131896
B,0.05243289984775819
b,0.08762936838893112
f,0.10899912364944683
