feature,shap_importance
?,0.07533767410134333
f,0.030766723681110466
m,0.014242017899226357
b,0.01314024890730111
',0.008802174941263825
I,0.006026277331374476
g,0.006004139817387847
y,0.005987702572567412
D,0.0058152970547532615
B,0.005526660350539221
k,0.005227572592541396
d,0.0050687992542826545
9,0.004824685957403268
7,0.003805365406567088
v,0.003741196988873341
t,0.0037111092699105594
J,0.0033607385896253835
r,0.0033583562837727716
w,0.0033448413065525055
",",0.002961741232316973
h,0.0029474862873975125
i,0.0028524428222049094
.,0.0027474444593394995
u,0.002590991763906057
A,0.002256922872095336
x,0.0021603944749189674
a,0.002145398143776365
H,0.0020727748402143407
l,0.002029519248962117
T,0.002014323536213374
E,0.0019501848142577573
C,0.0018649346884258501
s,0.0018456347470976726
M,0.0018436233428892864
P,0.0016643081198915517
F,0.001655056453342809
c,0.0015483921800628756
j,0.0015420343023342966
N,0.0014394408957354786
e,0.0014291590973350018
/,0.0013998518132476048
q,0.001352705009643996
z,0.001347981267970783
W,0.0013348049323723106
R,0.001322831827802322
-,0.0010965047800274427
(,0.0010870192390741336
:,0.0010365738782629206
p,0.0008077135907268523
3,0.0007981801760989734
O,0.0007513426800175519
5,0.0005931258563052237
o,0.0005691727545243678
L,0.0004881215689290757
n,0.0004092761790991488
Z,0.0002990971107573856
;,0.0002975774816467921
"""",0.0002819480272564706
$,0.0002487713769114366
 ,0.00022951297328990266
V,0.00022846958112465222
2,0.00020665699019658127
K,0.00020151318828305986
G,0.00019794623771955387
S,0.0001770064962327826
Y,0.0001646142068621881
0,0.00015951836792365678
,0.00010386669115934964
Q,9.426904969763978e-05
6,8.76677493885884e-05
],0.0
Á,0.0
á,0.0
ã,0.0
&,0.0
[,0.0
,0.0
{,0.0
@,0.0
#,0.0
~,0.0
´,0.0
Ö,0.0
ä,0.0
ï,0.0
^,0.0
ö,0.0
ù,0.0
\,0.0
½,0.0
£,0.0
ō,0.0
«,0.0
»,0.0
 ,0.0
|,0.0
¡,0.0
_,0.0
í,0.0
},0.0
<,0.0
8,0.0
+,0.0
1,0.0
U,0.0
!,0.0
*,0.0
>,0.0
4,0.0
à,0.0
è,0.0
),0.0
%,0.0
ë,0.0
é,0.0
=,0.0
X,0.0
`,0.0
ü,0.0
,0.0
ó,0.0
,0.0
	,0.0
ñ,0.0
,0.0
¢,0.0
