feature,mean_importance
j,-0.0012526533517986272
-,-0.0009049721952527178
x,-0.0008614500273018466
K,-0.000343464029207774
,-0.0003428598396479687
),-0.000308558166399564
N,-0.0002562294851988334
;,-0.000250947795808254
5,-0.00021174910217518493
#,-0.00021137668192383607
%,-0.0001526771247386316
ë,-0.00012539203166956893
=,-3.709979057309187e-05
,-1.489730477328699e-05
â,0.0
Ö,0.0
,0.0
Ï,0.0
ù,0.0
Ð,0.0
õ,0.0
·,0.0
½,0.0
£,0.0
ō,0.0
,0.0
ý,0.0
É,0.0
\,0.0
ñ,0.0
ï,0.0
ô,0.0
},0.0
^,0.0
@,0.0
{,0.0
[,0.0
ã,0.0
å,0.0
ú,0.0
ì,0.0
Á,0.0
“,0.0
”,0.0
ð,0.0
§,0.0
Õ,0.0
ê,0.0
í,0.0
Ó,0.0
Ç,0.0
¨,0.0
­,0.0
¢,0.0
©,0.0
ª,0.0
¤,0.0
,0.0
י,0.0
ג,0.0
א,0.0
ל,0.0
כ,0.0
ר,0.0
מ,0.0
ו,0.0
ן,0.0
★,0.0
Ê,0.0
,0.0
–,0.0
,0.0
Þ,0.0
«,0.0
»,0.0
î,0.0
 ,0.0
ß,0.0
|,0.0
ø,0.0
…,0.0
,0.0
¾,0.0
Ü,0.0
‘,0.0
Æ,0.0
®,0.0
¡,0.0
ò,0.0
°,0.0
″,0.0
æ,0.0
³,0.0
’,0.0
、,0.0
，,0.0
,0.0
ü,0.0
û,0.0
	,0.0
è,0.0
~,1.0198659449867086e-05
à,1.1359947919875602e-05
ç,1.2624595314281173e-05
´,3.888618946079614e-05
á,4.622458666567741e-05
(,7.184894122187479e-05
],8.46550434828508e-05
Z,9.517218098049618e-05
+,9.574574977164741e-05
ó,0.00010323496907953534
<,0.00012082169577485314
ä,0.00013616969436411886
X,0.0001494250349700854
,0.00016369091272359083
A,0.00021608271673327905
&,0.0002788255333900702
Q,0.00035025559552022135
6,0.0003761143527925448
L,0.0004020837370306785
:,0.00043697957471016123
ö,0.00046000699624419993
T,0.0004728140570223971
O,0.0004746608797461027
3,0.00048483471423390603
c,0.0005013687528670152
g,0.0005371454630047401
Y,0.000591901888325852
_,0.0006286597922444681
,0.0006386080600321975
v,0.0006386316813528969
 ,0.0006864609494805496
W,0.0007306616961956447
`,0.0009969669342041465
F,0.0010511368773878037
w,0.001105797393247543
P,0.0012140405438840762
é,0.0013664130948484398
E,0.0014047894209623824
2,0.001420471396669809
U,0.0014379264395684376
q,0.0015403359964490271
V,0.0017126843649894364
$,0.0017205510880798469
.,0.0017289217434823811
/,0.0017805410936475364
D,0.0018701371170581015
4,0.0019380475740880198
>,0.0022291357524693465
u,0.002234497166052507
M,0.0022864348664880297
C,0.0027337208852172166
G,0.0028799532733857934
!,0.002981919305399083
H,0.00299593633189803
R,0.003000144981965458
h,0.0033373552698642505
0,0.003460860681906386
S,0.0036605063937604765
z,0.003740640034154108
1,0.0037575806159526604
8,0.0043198228063062285
9,0.0043257994465530246
m,0.004396281137690017
',0.004930218979343826
"""",0.005003666927292994
B,0.005130611125379847
I,0.0052427481632679965
",",0.006292764838412434
J,0.006404524973034897
n,0.0065367045976221895
t,0.007082363199070118
l,0.007434042486548465
*,0.00853145859632647
7,0.008536727027967617
s,0.008926615887135326
d,0.009968241096288
k,0.010537519611790813
a,0.011546897939220124
p,0.012299215168505939
o,0.012584723860397972
y,0.013404612763971157
e,0.013625051217526218
r,0.014634387833252594
i,0.021958500212803524
f,0.023841045376658477
?,0.026051602470129786
b,0.046370655382424665
